objectid,filename,title,creator,date,description,subject,location,format,language
eay-26-p-3,pen_pal,Pen Pal,"Young, Edith",1953,"A black and white photo of Maureen McLoughlin, Edith's pen pal, and two of her friends, standing together, arms around each other, in front of a building and some trees.",pen pals; England; friendship; letters; girlhood; coorespondence; photographs; mail; scrapbooks,"London, England",image/jpeg,english
eay-26-p-12,the_gang,Our Gang,"Young, Edith",1953,A small black and white photo of 12 people standing and sitting together in a group with a couple of houses visible in the background,friendship; photographs; groups; 1950's,"Pittsburgh, PA",image/jpeg,english
eay-26-p-12.a,the_gang_2,List of Friends,"Young, Edith",1953,"""Our Gang"" ""Artie Glaab 16 1/2, Mort Wagner 16, Don Heinkle 15 1/2, Allen Piffer 17, Dave Hollinger 17 1/2, Jimmy Heinkle 18, Edith Young 15 1/2, Jo Ann Wagner 14 1/2, Gennive Roth 14, Judy Lindman 13, Peggy Dunderstadt 15 1/2, Margie Glaad 15",friendships; photographs; names; ages; rememberance; scrapbooks,"Pittsburgh, PA",image/jpeg,english
eay-26-p-11,the_lake,The Lake,"Young, Edith",NA,A black and white photo of four girls on two inner tubes in a body of water.,girlhood; vacation; lake; nature; friendship; photographs,"Zelienople, PA",image/jpeg,english
eay-26-p-11.a,the_lake_2,"JoAnn, Margie, Gen, and Edith","Young, Edith",NA,"The back of the photo, listing the people in it and their ages. ",names; rememberance; photographs; scrapbooks,"Zelienople, PA",image/jpeg,english
eay-26-p-5,the_diamond_skating_ring,The Diamond Skating Ring,"Young, Edith",1953,"A black and white photo of 7 girls in two rows, wearing skates",girlhood; friendships; skating; Pittsburgh; 1950's; groups; scrapbooks; remeberance; photographs,"Downtown Pittsburgh, PA",image/jpeg,english
eay-26-m-7,peggy's_hair_clipping,Peggy's Hair Clipping,"Young, Edith",NA,"A clipping of Edith's friend Peggy's hair taped to the ""Hair Do's page of her scrapbook, tied together with a piece of string.",hair; hair clippings; friendships; mementos; scrapbooks ,"Pittsburgh, PA",image/jpeg,english
eay-26-m-7.a,peg_dunderstadt,Peg Dunderstadt,"Young, Edith",1953,A faded photograph of a young woman sitting on the ground with her white skirt flared around her. She is outside and there are flowers behind her. She is in the grass. She is smiling and looking at the camera.,frienships; girlhood; photographs; scrapbooks,"Pittsburgh, PA",image/jpeg,english
eay-26-p-16,joann_and_edith,JoAnn and Edith,"Young, Edith",1953,"A black and white photo of JoAnn and Edith in skirts, coats, hats, and holding gloves, standing in front of large bushes with a building visible in the corner background of the photo.",friendships; girlhood; scrapbooks; Easter; dressing up; photographs; scrapbooks; 1950's ,"Pittsburgh, PA",image/jpeg,english
eay-26-c-7,valentine's_card,Valentine's Card,"Young, Edith",1955,"A valentines day card in an envelope from Edith's friend Jo. The card is two boxing dogs and reads, ""I'm not pulling any punches Valentine - You're a knock-out!"" The card and envelope is full of writings from Jo to Edith about the lateness of the card, and Edith visiting Elmer. It isn't pasted in the book, but was sitting loosely between the last page and the back cover.",greeting cards; Valentine's Day; friendships; handwriting; coorespondence,"Pittsburgh, PA",image/jpeg,english
eay-26-c-7.c,valentine's_card_inscription,Valentine's Card,"Young, Edith",1955,,greeting cards; Valentine's Day; friendships; handwriting; coorespondence,"Pittsburgh, PA",image/jpeg,english
eay-26-c-7.a,valentine's_card_envelope,Valentine's Card,"Young, Edith",1955,,greeting cards; Valentine's Day; friendships; handwriting; coorespondence,"Pittsburgh, PA",image/jpeg,english
eay-26-c-7.b,valentine's_card_envelope_2,Valentine's Card,"Young, Edith",1955,,greeting cards; Valentine's Day; friendships; handwriting; coorespondence,"Pittsburgh, PA",image/jpeg,english
eay-26-c-2,birthday_party_invitation,Edith's 16th Birthday,"Young, Edith",12-19-1953,"Birthday party invitation to Edith's 16th birthday party. The card is small and has an image of a bear in chef's clothes icing a cake on the from. It reads, ""Please Come to a Birthday Party"". On the inside it has the details of the party.",birthdays; friendships; parties; birthday parties; 16th birthday; invitation,"Millvale, PA",image/jpeg,english
eay-26-c-2.a,birthday_party_invitation_inside,Edith's 16th Birthday,"Young, Edith",12-19-1953,,birthdays; friendships; parties; birthday parties; 16th birthday; invitation,"Millvale, PA",image/jpeg,english
eay-26-c-2.b,birthday_party_entry,Edith's 16th Birthday,"Young, Edith",12-19-1953,"""My sixteenth birthday party. It was held up at Jo Ann Wagner's on December 19th, 1953. I had a real good time. We played records and spin the bottle. We also joked around. I stayed up at Jo Ann's overnight. Margie also helped Jo Ann out with the party. We had ice cream, pop, cake, bar B. Q. The people at my party were Geninine Roth, Harry Roth, Allen Pfiefer, Walter Imhoy, Marge Glaab, Jo Ann Wagner, Don Humbile, Jim Humbile, and David Hollinger, and Kathleen Hollinger, Georgie Wagner, Peggy Duderstadt",birthdays; friendships; parties; birthday parties; 16th birthday; scrapbooks; games; groups; 1950's,"Millvale, PA",image/jpeg,english
eay-26-c-2.c,birthday_party_candle,Edith's 16th Birthday,"Young, Edith",12-19-1953,A pink wax cake candle with a white wick taped to the page of the scrapbook.,"birthdays; friendships, parties, birthday parties, 16th birthday, candle; cake; scrapbooks","Millvale, PA",image/jpeg,english
